Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,0,90,-4.6,left,1,1.265722431,left,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,1,1,80,,,,,,,,,,,,180,90,-4.6,left,1,0.849754848,left,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,2,1,79,,,,,,,,,,,,180,90,-4.6,left,1,0.716857323,left,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,3,1,78,,,,,,,,,,,,0,0,4.6,right,1,1.348605715,right,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,4,1,77,,,,,,,,,,,,0,0,-4.6,left,1,0.700235022,left,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,5,1,76,,,,,,,,,,,,180,90,4.6,right,1,0.733433916,right,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,6,1,75,,,,,,,,,,,,0,90,4.6,right,1,0.532689316,right,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,7,1,74,,,,,,,,,,,,0,0,4.6,right,1,1.082715197,right,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,8,1,73,,,,,,,,,,,,0,90,-4.6,left,1,0.866464836,left,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,9,1,72,,,,,,,,,,,,180,0,4.6,right,1,0.916401396,right,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,10,1,71,,,,,,,,,,,,180,0,4.6,right,1,0.666991636,right,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,11,1,70,,,,,,,,,,,,180,90,-4.6,left,0,2.096473984,right,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,12,1,71,,,,,,,,,,,,0,90,-4.6,left,1,0.667279607,left,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,13,1,71,,,,,,,,,,,,0,0,-4.6,left,1,0.949522831,left,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,14,1,71,,,,,,,,,,,,180,90,-4.6,left,1,0.799887944,left,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,15,1,70,,,,,,,,,,,,0,0,4.6,right,1,0.766633133,right,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
,16,1,70,,,,,,,,,,,,0,0,-4.6,left,1,1.098976767,left,,,,,,,,,1,14,2016_Jan_02_1739,Flow_endo_post,3.0.5,60.14248091,
