Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,0,0,-4.6,left,1,0.9199534,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,1,1,80,,,,,,,,,,,,180,0,-4.6,left,1,0.668021,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,2,1,79,,,,,,,,,,,,180,0,4.6,right,1,0.7188943,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,3,1,78,,,,,,,,,,,,180,90,4.6,right,1,1.0016306,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,4,1,77,,,,,,,,,,,,0,0,-4.6,left,1,0.5509526,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,5,1,76,,,,,,,,,,,,180,0,4.6,right,1,0.6008121,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,6,1,75,,,,,,,,,,,,0,0,4.6,right,1,0.6680794,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,7,1,74,,,,,,,,,,,,0,0,4.6,right,1,0.6351912,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,8,1,73,,,,,,,,,,,,180,0,4.6,right,0,0.7348501,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,9,1,74,,,,,,,,,,,,0,0,4.6,right,1,0.6014353,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
