Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,180,0,-4.6,left,1,0.486866387,left,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
,1,1,80,,,,,,,,,,,,0,90,-4.6,left,1,0.520799224,left,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
,2,1,79,,,,,,,,,,,,0,0,-4.6,left,1,0.538141673,left,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
,3,1,78,,,,,,,,,,,,180,0,-4.6,left,1,0.622063164,left,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
,4,1,77,,,,,,,,,,,,0,90,4.6,right,1,0.520613493,right,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
,5,1,76,,,,,,,,,,,,180,0,-4.6,left,1,0.538404123,left,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
,6,1,75,,,,,,,,,,,,0,0,4.6,right,1,0.739493523,right,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
,7,1,74,,,,,,,,,,,,0,90,-4.6,left,1,0.741474695,left,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
,8,1,73,,,,,,,,,,,,0,0,4.6,right,1,0.657190059,right,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
,9,1,72,,,,,,,,,,,,0,90,-4.6,left,1,0.655594154,left,,,,,,,,,1,3,2019_Mar_26_1914,Flow_endo_post,3.0.5,59.80647092,
