Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;180;0;-4.6;left;1;0.751777259;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
1;1;80;;;;0;90;-4.6;left;1;1.789743142;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
2;1;79;;;;0;0;4.6;right;1;1.193596956;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
3;1;78;;;;180;90;4.6;right;1;0.868124458;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
4;1;77;;;;180;0;-4.6;left;1;0.755521011;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
5;1;76;;;;180;90;-4.6;left;1;0.806890712;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
6;1;75;;;;180;90;-4.6;left;1;0.703661733;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
7;1;74;;;;0;0;4.6;right;1;0.619212325;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
8;1;73;;;;180;90;4.6;right;1;0.784493195;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
9;1;72;;;;180;0;4.6;right;1;0.654111122;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
10;1;71;;;;180;90;-4.6;left;1;0.766476669;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
11;1;70;;;;0;0;-4.6;left;1;0.602102416;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
12;1;69;;;;180;0;-4.6;left;1;0.686284303;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
13;1;68;;;;0;90;-4.6;left;1;1.035910296;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
14;1;67;;;;0;0;4.6;right;1;0.702123484;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
15;1;66;;;;180;90;-4.6;left;1;0.62064564;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
16;1;65;;;;0;0;-4.6;left;0;0.621590598;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
17;1;66;;;;0;90;-4.6;left;1;0.685520257;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
18;1;66;;;;0;0;4.6;right;1;0.656968553;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
19;1;66;;;;0;0;-4.6;left;0;0.782210108;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
20;1;67;;;;180;90;4.6;right;1;1.156532604;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
21;1;67;;;;180;90;4.6;right;1;1.020159759;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
22;1;67;;;;180;90;4.6;right;0;2.759133957;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
23;1;68;;;;0;90;-4.6;left;1;1.709379288;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
24;1;68;;;;180;90;4.6;right;1;1.668828822;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
25;1;68;;;;180;0;-4.6;left;1;0.735665097;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
26;1;67;;;;0;90;4.6;right;0;1.22409723;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
27;1;68;;;;180;90;-4.6;left;1;1.692536713;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
28;1;68;;;;0;0;4.6;right;1;0.755126854;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
29;1;68;;;;180;0;-4.6;left;1;0.988092828;left;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
30;1;67;;;;0;90;4.6;right;1;0.770492712;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
31;1;67;;;;180;0;4.6;right;1;1.841026519;right;;;;;;;1;122;2019_Apr_01_1214;Flow_endo_pre;3.0.5;59.58706048
