Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;180;0;4.6;right;1;2.180303132;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
1;1;80;;;;180;0;-4.6;left;1;1.680951934;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
2;1;79;;;;180;90;4.6;right;1;0.915112188;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
3;1;78;;;;180;90;-4.6;left;1;1.016129429;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
4;1;77;;;;0;90;-4.6;left;1;0.683603648;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
5;1;76;;;;180;90;-4.6;left;1;0.999521575;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
6;1;75;;;;180;0;4.6;right;1;0.666990731;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
7;1;74;;;;180;0;4.6;right;1;1.06603731;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
8;1;73;;;;0;90;4.6;right;0;0.783273244;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
9;1;74;;;;0;90;-4.6;left;0;0.532686121;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
10;1;75;;;;180;90;-4.6;left;1;1.066067266;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
11;1;75;;;;0;0;-4.6;left;1;0.633411513;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
12;1;75;;;;0;0;4.6;right;1;0.600483343;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
13;1;74;;;;0;90;4.6;right;1;0.76648986;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
14;1;74;;;;180;90;-4.6;left;1;0.50070952;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
15;1;74;;;;0;0;4.6;right;1;0.533957054;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
16;1;73;;;;180;90;-4.6;left;1;0.550579824;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
17;1;73;;;;0;90;4.6;right;1;0.683603696;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
18;1;73;;;;0;90;-4.6;left;1;0.517329881;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
19;1;72;;;;180;0;-4.6;left;1;0.517341379;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
20;1;72;;;;180;90;4.6;right;1;0.683499869;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
21;1;72;;;;0;0;4.6;right;1;1.016175981;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
22;1;71;;;;180;90;4.6;right;1;0.699864261;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
23;1;71;;;;0;0;-4.6;left;1;0.466177559;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
24;1;71;;;;0;90;-4.6;left;1;0.98281652;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
25;1;70;;;;180;90;-4.6;left;1;0.89960338;left;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
26;1;70;;;;0;0;4.6;right;1;0.450830858;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
27;1;70;;;;180;0;4.6;right;1;0.616990106;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
28;1;69;;;;0;0;4.6;right;1;0.417574853;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
29;1;69;;;;180;0;4.6;right;1;0.716733511;right;;;;;;;1;16;2016_Jan_02_1544;Flow_endo_pre;3.0.5;60.15084231
