Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,Time_pas_Ans.response,Time_pas_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
0,1,81,,,,180,0,-4.6,left,1,3.6189123900003324,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
1,1,80,,,,180,90,4.6,right,1,0.45096275899959437,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
2,1,79,,,,180,90,-4.6,left,1,0.35021341500032577,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
3,1,78,,,,0,90,-4.6,left,1,0.36726042899863387,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
4,1,77,,,,0,90,4.6,right,1,0.28504014700047264,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
5,1,76,,,,180,0,4.6,right,1,0.567349277998801,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
6,1,75,,,,0,90,4.6,right,1,0.6694561429994792,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
7,1,74,,,,180,90,4.6,right,1,0.7519101079997199,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
8,1,73,,,,180,90,-4.6,left,1,0.5854247450006369,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
9,1,72,,,,180,90,4.6,right,1,0.6517675780014542,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
10,1,71,,,,0,90,-4.6,left,1,0.6209434070005955,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
11,1,70,,,,180,0,4.6,right,1,0.6524255959993752,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
12,1,69,,,,0,90,-4.6,left,1,0.6029691849998926,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
13,1,68,,,,0,0,-4.6,left,1,0.4524904290010454,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
14,1,67,,,,180,90,4.6,right,0,1.635636564999004,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
15,1,68,,,,0,90,-4.6,left,1,1.2185522589988977,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
16,1,68,,,,0,0,4.6,right,1,1.6021749800001999,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
17,1,68,,,,180,0,-4.6,left,1,0.9025532729992847,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
18,1,67,,,,0,90,4.6,right,0,0.7517576619993633,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
19,1,68,,,,180,90,4.6,right,1,0.6855022439995082,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
20,1,68,,,,180,90,-4.6,left,1,0.6518944939998619,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
21,1,68,,,,0,90,-4.6,left,1,0.6185056330014049,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
22,1,67,,,,180,0,4.6,right,0,0.985719190999589,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
23,1,68,,,,180,90,-4.6,left,1,0.5698214270014432,left,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
24,1,68,,,,0,90,-4.6,left,0,0.5357652099992265,right,,,,,,,001,223,2019_Apr_03_1547,Flow_endo_pre,3.0.6,59.93511352678568,
