Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;180;0;-4.6;left;1;8.954097324;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
1;1;80;;;;180;90;-4.6;left;1;1.3838888;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
2;1;79;;;;180;90;-4.6;left;1;1.483956775;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
3;1;78;;;;180;90;-4.6;left;1;1.217481199;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
4;1;77;;;;0;0;-4.6;left;1;1.200357997;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
5;1;76;;;;180;90;4.6;right;1;0.833832093;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
6;1;75;;;;180;90;-4.6;left;1;0.719886772;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
7;1;74;;;;180;90;-4.6;left;1;0.968772353;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
8;1;73;;;;180;90;4.6;right;1;0.767398285;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
9;1;72;;;;180;90;4.6;right;1;0.833915679;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
10;1;71;;;;180;90;4.6;right;1;0.786028245;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
11;1;70;;;;0;0;4.6;right;1;0.836596055;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
12;1;69;;;;180;0;-4.6;left;1;0.536550856;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
13;1;68;;;;180;90;-4.6;left;1;0.503161038;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
14;1;67;;;;180;90;4.6;right;1;2.220191144;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
15;1;66;;;;180;90;-4.6;left;1;0.586733296;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
16;1;65;;;;0;0;4.6;right;0;0.500478468;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
17;1;66;;;;0;0;4.6;right;0;1.233594272;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
18;1;67;;;;0;90;-4.6;left;1;0.485393925;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
19;1;67;;;;0;0;-4.6;left;1;0.553144116;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
20;1;67;;;;0;0;4.6;right;0;0.736649785;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
21;1;68;;;;0;0;-4.6;left;1;0.633453266;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
22;1;68;;;;180;90;4.6;right;1;13.06821412;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
23;1;68;;;;180;0;4.6;right;0;0.633042267;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
24;1;69;;;;180;90;4.6;right;0;0.602545416;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
25;1;70;;;;180;0;4.6;right;1;0.566684193;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
26;1;70;;;;0;0;4.6;right;1;0.53730151;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
27;1;70;;;;0;90;-4.6;left;1;0.4838205;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
28;1;69;;;;0;0;4.6;right;1;0.969406771;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
29;1;69;;;;180;90;-4.6;left;0;0.720030646;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
30;1;70;;;;180;90;-4.6;left;1;0.517127696;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
31;1;70;;;;0;0;4.6;right;1;0.550660287;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
32;1;70;;;;180;0;-4.6;left;1;0.436658143;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
33;1;69;;;;180;0;-4.6;left;1;0.416868901;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
34;1;69;;;;180;0;-4.6;left;1;0.433981943;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
35;1;69;;;;0;90;4.6;right;1;0.317165573;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
36;1;68;;;;0;90;4.6;right;0;0.635285574;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
37;1;69;;;;180;0;4.6;right;1;0.385598663;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
38;1;69;;;;180;90;4.6;right;1;0.767243155;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
39;1;69;;;;180;90;4.6;right;1;0.502705817;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
40;1;68;;;;180;0;4.6;right;1;0.436483542;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
41;1;68;;;;180;90;-4.6;left;1;0.553193793;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
42;1;68;;;;180;90;4.6;right;1;0.48615273;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
43;1;67;;;;0;90;-4.6;left;1;0.669239542;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
44;1;67;;;;180;90;4.6;right;1;0.586585151;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
45;1;67;;;;180;0;4.6;right;1;0.450355112;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
46;1;66;;;;180;90;-4.6;left;1;0.519203182;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
47;1;66;;;;0;90;4.6;right;1;0.267244075;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
48;1;66;;;;180;0;4.6;right;1;0.333938619;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
49;1;65;;;;180;90;-4.6;left;0;0.403263041;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
50;1;66;;;;0;90;-4.6;left;0;0.383417305;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
51;1;67;;;;180;0;-4.6;left;0;0.383960317;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
52;1;68;;;;180;0;-4.6;left;0;0.483807277;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
53;1;69;;;;180;90;4.6;right;1;0.469795991;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
54;1;69;;;;180;90;4.6;right;1;0.519831034;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
55;1;69;;;;0;90;4.6;right;1;0.450751565;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
56;1;68;;;;0;0;-4.6;left;0;0.486585831;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
57;1;69;;;;0;90;-4.6;left;0;1.653437435;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
58;1;70;;;;0;90;4.6;right;1;0.502731881;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
59;1;70;;;;180;90;4.6;right;1;0.436289641;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
60;1;70;;;;0;0;-4.6;left;0;0.53584584;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
61;1;71;;;;180;0;-4.6;left;1;0.88672297;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
62;1;71;;;;180;90;-4.6;left;1;0.533556881;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
63;1;71;;;;0;90;-4.6;left;1;0.450560853;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
64;1;70;;;;0;90;-4.6;left;1;1.703200252;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
65;1;70;;;;180;0;4.6;right;1;1.203318652;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
66;1;70;;;;0;90;4.6;right;1;0.819292501;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
67;1;69;;;;180;0;4.6;right;0;0.667272656;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
68;1;70;;;;180;90;-4.6;left;1;0.703022042;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
69;1;70;;;;0;90;4.6;right;1;0.602969829;right;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
70;1;70;;;;180;0;-4.6;left;1;0.369480683;left;;;;;;;1;64;2019_Mar_27_1328;Flow_endo_pre;3.0.5;59.97045736
