Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,Time_pas_Ans.response,Time_pas_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
0,1,81,,,,180,90,-4.6,left,1,0.30378965199999186,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
1,1,80,,,,180,90,4.6,right,1,0.40200028000001,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
2,1,79,,,,180,90,4.6,right,1,0.6186879640000029,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
3,1,78,,,,0,0,4.6,right,1,0.618654724999999,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
4,1,77,,,,0,0,-4.6,left,1,1.2863144539999922,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
5,1,76,,,,0,90,4.6,right,1,0.5690525890000089,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
6,1,75,,,,180,90,-4.6,left,1,0.41832328000000985,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
7,1,74,,,,180,90,4.6,right,1,0.5014362449999936,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
8,1,73,,,,0,0,4.6,right,1,0.5695107930000063,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
9,1,72,,,,180,90,4.6,right,1,0.8515878550000053,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
10,1,71,,,,0,90,4.6,right,0,0.45258576599999856,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
11,1,72,,,,0,0,4.6,right,1,0.5688710100000094,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
12,1,72,,,,180,0,-4.6,left,1,0.4846703839999975,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
13,1,72,,,,180,90,-4.6,left,1,0.6681647659999896,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
14,1,71,,,,180,0,-4.6,left,1,0.5195838860000066,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
15,1,71,,,,0,0,4.6,right,1,0.7018996259999994,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
16,1,71,,,,0,90,4.6,right,1,0.7510783879999963,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
17,1,70,,,,0,90,4.6,right,1,0.8673382679999975,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
18,1,70,,,,0,0,-4.6,left,1,0.4699537980000059,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
19,1,70,,,,180,0,4.6,right,1,0.551874299000005,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
20,1,69,,,,0,0,4.6,right,1,0.5660696270000045,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
21,1,69,,,,180,0,4.6,right,1,0.5859342600000019,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
22,1,69,,,,180,90,-4.6,left,0,0.5689549119999953,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
23,1,70,,,,0,0,4.6,right,1,0.5356198989999967,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
24,1,70,,,,180,90,4.6,right,1,0.469241499000006,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
25,1,70,,,,180,90,-4.6,left,1,0.9174335959999951,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
26,1,69,,,,180,90,4.6,right,0,0.7860429280000005,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
27,1,70,,,,180,90,4.6,right,0,0.7358774829999959,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
28,1,71,,,,0,0,4.6,right,1,0.6697867940000037,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
29,1,71,,,,180,0,-4.6,left,1,0.5706463699999915,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
30,1,71,,,,180,0,-4.6,left,1,0.4849390519999872,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
31,1,70,,,,180,90,4.6,right,1,0.5351303999999857,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
32,1,70,,,,180,90,-4.6,left,1,1.0357781540000133,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
33,1,70,,,,180,0,4.6,right,0,1.0180124839999962,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
34,1,71,,,,180,90,-4.6,left,1,0.6351704850000033,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
35,1,71,,,,180,0,-4.6,left,1,0.4509210170000131,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
36,1,71,,,,180,90,-4.6,left,1,0.6355385399999989,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
37,1,70,,,,0,90,4.6,right,0,0.5023461469999972,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
38,1,71,,,,0,90,-4.6,left,1,0.4356363160000001,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
39,1,71,,,,180,0,4.6,right,0,0.5541001590000008,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
40,1,72,,,,180,0,-4.6,left,1,0.6856554829999766,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
41,1,72,,,,0,0,-4.6,left,1,0.5690211399999896,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
42,1,72,,,,0,0,4.6,right,0,1.6020711600000084,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
43,1,73,,,,0,0,-4.6,left,1,0.5354496120000078,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
44,1,73,,,,180,0,4.6,right,0,0.6020562289999987,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
45,1,74,,,,180,0,-4.6,left,1,0.6525353210000162,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
46,1,74,,,,0,0,4.6,right,0,1.719311093000016,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
47,1,75,,,,0,0,4.6,right,1,0.5364473869999813,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
48,1,75,,,,0,0,-4.6,left,1,0.6023267449999992,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
49,1,75,,,,180,90,4.6,right,1,0.5032083110000087,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
50,1,74,,,,180,0,-4.6,left,1,0.5864433749999876,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
51,1,74,,,,180,0,-4.6,left,1,0.5684621519999951,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
52,1,74,,,,180,0,-4.6,left,1,0.537381492999998,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
53,1,73,,,,0,0,-4.6,left,1,0.5354235719999849,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
54,1,73,,,,0,0,-4.6,left,1,0.5352408429999969,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
55,1,73,,,,180,90,-4.6,left,1,0.4857130839999968,left,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
56,1,72,,,,180,90,4.6,right,1,0.5191520760000117,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
57,1,72,,,,180,0,4.6,right,1,0.5004163050000159,right,,,,,,,002,73,2019_Mar_29_1311,Flow_endo_pre,3.0.6,59.65581577090723,
