Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,-4.6,90,4.6,right,1,1.2689765,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,1,1,80,,,,,,,,,,,,4.6,0,-4.6,left,1,0.6018349,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,2,1,79,,,,,,,,,,,,4.6,90,4.6,right,1,0.5515845,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,3,1,78,,,,,,,,,,,,4.6,0,4.6,right,1,0.5183686,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,4,1,77,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.4676847,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,5,1,76,,,,,,,,,,,,4.6,90,-4.6,left,1,0.6173049,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,6,1,75,,,,,,,,,,,,-4.6,90,4.6,right,1,0.5856072,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,7,1,74,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.5343243,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,8,1,73,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.4850049,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,9,1,72,,,,,,,,,,,,4.6,90,-4.6,left,1,0.5848704,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,10,1,71,,,,,,,,,,,,4.6,0,-4.6,left,1,0.652084,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,11,1,70,,,,,,,,,,,,4.6,90,-4.6,left,1,0.968431,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,12,1,69,,,,,,,,,,,,4.6,0,-4.6,left,1,0.8862089,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,13,1,68,,,,,,,,,,,,4.6,0,-4.6,left,0,0.6180578,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,14,1,69,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.7021683,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,15,1,69,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.4519662,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,16,1,69,,,,,,,,,,,,-4.6,0,4.6,right,1,0.4351146,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,17,1,68,,,,,,,,,,,,4.6,0,4.6,right,1,0.6184839,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,18,1,68,,,,,,,,,,,,-4.6,0,4.6,right,1,0.5346317,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,19,1,68,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.4351373,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,20,1,67,,,,,,,,,,,,-4.6,90,-4.6,left,0,0.9021681,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,21,1,68,,,,,,,,,,,,4.6,0,4.6,right,1,0.485587,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,22,1,68,,,,,,,,,,,,4.6,90,-4.6,left,0,0.5015916,right,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
,23,1,69,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.5517273,left,,,,,,,,,2,171,2019_Apr_05_1602,Flow_exo_post,3.0.5,59.59113331,
