Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,4.6,90,-4.6,left,1,0.45089519,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,1,1,80,,,,,,,,,,,,4.6,0,-4.6,left,1,0.434212729,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,2,1,79,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.400983404,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,3,1,78,,,,,,,,,,,,-4.6,0,4.6,right,1,0.367701781,right,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,4,1,77,,,,,,,,,,,,4.6,0,-4.6,left,1,0.400969873,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,5,1,76,,,,,,,,,,,,4.6,0,-4.6,left,1,0.400956757,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,6,1,75,,,,,,,,,,,,4.6,0,-4.6,left,0,0.234667807,right,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,7,1,76,,,,,,,,,,,,-4.6,0,4.6,right,1,0.432894853,right,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,8,1,76,,,,,,,,,,,,4.6,0,-4.6,left,1,0.384309832,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,9,1,76,,,,,,,,,,,,4.6,0,-4.6,left,1,0.349801337,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,10,1,75,,,,,,,,,,,,4.6,0,-4.6,left,1,0.334426907,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,11,1,75,,,,,,,,,,,,4.6,90,-4.6,left,1,0.301223138,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,12,1,75,,,,,,,,,,,,4.6,0,-4.6,left,1,0.367431886,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,13,1,74,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.317635783,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,14,1,74,,,,,,,,,,,,-4.6,90,4.6,right,1,0.433954076,right,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,15,1,74,,,,,,,,,,,,4.6,90,-4.6,left,1,0.400932827,left,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
,16,1,73,,,,,,,,,,,,-4.6,90,4.6,right,1,0.517346672,right,,,,,,,,,3,19,2016_Jan_09_1739,Flow_exo_post,3.0.5,60.13318309,
