Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Friday;1237.412;;;;;;;;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
0;1;81;;;;;;-4.6;0;4.6;right;1;0.650434498;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
1;1;80;;;;;;-4.6;90;4.6;right;1;0.434098227;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
2;1;79;;;;;;4.6;90;4.6;right;1;0.334377981;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
3;1;78;;;;;;4.6;0;-4.6;left;1;0.401086402;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
4;1;77;;;;;;-4.6;90;-4.6;left;1;0.33437259;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
5;1;76;;;;;;4.6;0;-4.6;left;0;0.517139197;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
6;1;77;;;;;;4.6;0;4.6;right;1;0.417342599;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
7;1;77;;;;;;4.6;90;4.6;right;1;0.433941376;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
8;1;77;;;;;;-4.6;90;-4.6;left;1;0.301052453;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
9;1;76;;;;;;4.6;0;4.6;right;1;0.41752393;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
10;1;76;;;;;;4.6;0;4.6;right;1;0.51816942;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
11;1;76;;;;;;-4.6;0;4.6;right;0;0.417467541;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
12;1;77;;;;;;4.6;90;-4.6;left;1;0.500646812;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
13;1;77;;;;;;4.6;90;4.6;right;1;0.384189525;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
14;1;77;;;;;;-4.6;0;-4.6;left;1;0.334341988;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
15;1;76;;;;;;-4.6;90;4.6;right;1;0.349690979;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
16;1;76;;;;;;-4.6;90;4.6;right;1;0.650302139;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
17;1;76;;;;;;-4.6;90;-4.6;left;1;0.367504348;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
18;1;75;;;;;;-4.6;0;4.6;right;1;0.532561848;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
19;1;75;;;;;;-4.6;0;4.6;right;1;0.517661098;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
20;1;75;;;;;;4.6;90;4.6;right;1;0.533924217;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
21;1;74;;;;;;-4.6;90;-4.6;left;1;0.28446127;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
22;1;74;;;;;;-4.6;0;4.6;right;1;0.385006511;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
23;1;74;;;;;;4.6;0;4.6;right;1;0.30112645;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
24;1;73;;;;;;4.6;90;4.6;right;1;0.451062524;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
25;1;73;;;;;;-4.6;0;-4.6;left;1;0.316420205;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
26;1;73;;;;;;4.6;0;4.6;right;1;0.284504889;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
27;1;72;;;;;;4.6;90;-4.6;left;1;0.350946826;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
28;1;72;;;;;;4.6;0;4.6;right;1;0.35151807;right;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
29;1;72;;;;;;-4.6;90;-4.6;left;1;0.334302415;left;;;;;2;10;2016_Jan_07_1313;Flow_exo_pre;3.0.5;60.14037582
