Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Monday;1251.766;;;;;;;;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
0;1;81;;;;;;-4.6;0;4.6;right;1;0.975585817;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
1;1;80;;;;;;4.6;90;-4.6;left;1;0.955970619;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
2;1;79;;;;;;-4.6;90;-4.6;left;1;0.754359777;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
3;1;78;;;;;;4.6;90;-4.6;left;1;1.691444903;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
4;1;77;;;;;;4.6;0;-4.6;left;1;0.784643314;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
5;1;76;;;;;;-4.6;0;-4.6;left;1;0.654839667;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
6;1;75;;;;;;-4.6;0;-4.6;left;1;0.701581336;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
7;1;74;;;;;;-4.6;0;4.6;right;1;0.787088588;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
8;1;73;;;;;;-4.6;90;-4.6;left;1;0.852758902;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
9;1;72;;;;;;4.6;90;-4.6;left;1;1.038596904;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
10;1;71;;;;;;-4.6;0;4.6;right;1;0.887253932;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
11;1;70;;;;;;4.6;0;-4.6;left;1;0.755796527;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
12;1;69;;;;;;4.6;0;-4.6;left;1;1.877456566;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
13;1;68;;;;;;4.6;90;4.6;right;1;0.721814115;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
14;1;67;;;;;;-4.6;90;-4.6;left;1;0.803397484;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
15;1;66;;;;;;-4.6;0;-4.6;left;1;0.918523409;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
16;1;65;;;;;;-4.6;90;-4.6;left;1;0.970471929;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
17;1;65;;;;;;-4.6;90;4.6;right;0;1.105553259;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
18;1;66;;;;;;-4.6;90;4.6;right;0;1.324640462;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
19;1;67;;;;;;-4.6;90;-4.6;left;1;0.653680734;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
20;1;67;;;;;;4.6;0;-4.6;left;0;0.835246855;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
21;1;68;;;;;;4.6;0;4.6;right;0;2.522965383;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
22;1;69;;;;;;-4.6;90;4.6;right;1;1.254681385;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
23;1;69;;;;;;4.6;90;-4.6;left;1;0.853749218;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
24;1;69;;;;;;-4.6;0;4.6;right;1;1.090623646;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
25;1;68;;;;;;-4.6;0;-4.6;left;1;0.887471975;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
26;1;68;;;;;;-4.6;90;-4.6;left;1;0.769680769;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
27;1;68;;;;;;-4.6;90;-4.6;left;1;1.389579559;left;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
28;1;67;;;;;;4.6;0;4.6;right;1;0.921641994;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
29;1;67;;;;;;4.6;0;-4.6;left;0;0.803804452;right;;;;;2;122;2019_Apr_08_1143;Flow_exo_pre;3.0.5;59.36958818
