Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,Time_pas_Ans.response,Time_pas_Ans.rt,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,Session,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,Friday,1137.514,,,,,,,,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
0,1,81,,,,,,4.6,0,4.6,right,1,0.5031695549987489,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
1,1,80,,,,,,-4.6,90,-4.6,left,1,0.3849315379920881,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
2,1,79,,,,,,-4.6,0,-4.6,left,1,0.35145712399389595,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
3,1,78,,,,,,4.6,90,-4.6,left,1,0.3684617469989462,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
4,1,77,,,,,,-4.6,0,-4.6,left,1,0.28529025899479166,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
5,1,76,,,,,,4.6,90,-4.6,left,1,0.3672737790038809,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
6,1,75,,,,,,-4.6,90,4.6,right,1,0.3349760759883793,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
7,1,74,,,,,,4.6,90,-4.6,left,1,0.3190224499994656,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
8,1,73,,,,,,4.6,0,-4.6,left,1,0.40237385999353137,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
9,1,72,,,,,,4.6,90,4.6,right,1,0.48569388200121466,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
10,1,71,,,,,,4.6,0,-4.6,left,1,0.48464296299789567,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
11,1,70,,,,,,4.6,90,-4.6,left,1,0.3849660819978453,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
12,1,69,,,,,,-4.6,90,4.6,right,1,0.5021731099986937,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
13,1,68,,,,,,-4.6,90,-4.6,left,1,0.33276366800419055,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
14,1,67,,,,,,-4.6,90,4.6,right,1,0.3024940150062321,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
15,1,66,,,,,,4.6,90,-4.6,left,0,0.5679475130018545,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
16,1,67,,,,,,4.6,90,4.6,right,1,0.31850124600168783,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
17,1,67,,,,,,4.6,90,4.6,right,1,0.302827060004347,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
18,1,67,,,,,,4.6,0,4.6,right,1,0.3360622709878953,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
19,1,66,,,,,,-4.6,90,4.6,right,0,0.2850497309991624,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
20,1,67,,,,,,-4.6,90,4.6,right,1,0.384786062000785,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
21,1,67,,,,,,-4.6,90,4.6,right,1,0.5854278190090554,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
22,1,67,,,,,,-4.6,0,4.6,right,1,0.5687635779904667,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
23,1,66,,,,,,-4.6,90,-4.6,left,0,0.43541281500074547,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
24,1,67,,,,,,4.6,90,4.6,right,1,0.5692782580008497,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
25,1,67,,,,,,4.6,90,-4.6,left,0,0.5193858940037899,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
26,1,68,,,,,,4.6,90,4.6,right,1,0.5350253219949082,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
27,1,68,,,,,,-4.6,0,4.6,right,1,0.35578756900213193,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
28,1,68,,,,,,-4.6,0,-4.6,left,1,0.4029929429962067,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
29,1,67,,,,,,-4.6,0,4.6,right,1,0.7356579000042984,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
30,1,67,,,,,,-4.6,0,4.6,right,1,1.0844371160055744,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
31,1,67,,,,,,-4.6,90,4.6,right,1,0.8355850749940146,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
32,1,66,,,,,,-4.6,0,4.6,right,0,0.6021600859967293,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
33,1,67,,,,,,-4.6,90,-4.6,left,0,0.5197510669968324,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
34,1,68,,,,,,4.6,0,4.6,right,1,0.35255602998950053,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
35,1,68,,,,,,4.6,0,-4.6,left,0,0.4689297689910745,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
36,1,69,,,,,,4.6,0,-4.6,left,0,0.4535425270005362,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
37,1,70,,,,,,4.6,0,4.6,right,1,0.4854692299995804,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
38,1,70,,,,,,4.6,0,4.6,right,1,0.752566441995441,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
39,1,70,,,,,,4.6,90,-4.6,left,0,0.4349360210035229,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
40,1,71,,,,,,-4.6,90,-4.6,left,1,0.43238620599731803,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
41,1,71,,,,,,-4.6,0,-4.6,left,0,0.6347049500036519,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
42,1,72,,,,,,4.6,0,4.6,right,1,0.387726561006275,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
43,1,72,,,,,,-4.6,0,4.6,right,1,0.41829548400710337,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
44,1,72,,,,,,-4.6,0,4.6,right,1,0.33464311600255314,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
45,1,71,,,,,,4.6,90,-4.6,left,0,0.23587806899740826,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
46,1,72,,,,,,-4.6,90,4.6,right,1,0.18580292900151107,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
47,1,72,,,,,,-4.6,0,4.6,right,1,0.25096661399584264,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
48,1,72,,,,,,4.6,90,-4.6,left,0,0.21763528500741813,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
49,1,73,,,,,,4.6,0,4.6,right,1,0.2690827720070956,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
50,1,73,,,,,,-4.6,90,4.6,right,1,0.20217896699614357,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
51,1,73,,,,,,-4.6,90,4.6,right,1,0.33567409799434245,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
52,1,72,,,,,,4.6,0,4.6,right,1,0.3013279309961945,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
53,1,72,,,,,,-4.6,90,4.6,right,1,0.1517678359959973,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
54,1,72,,,,,,4.6,90,-4.6,left,0,0.2184754299960332,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
55,1,73,,,,,,-4.6,90,-4.6,left,1,0.5016236360097537,left,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
56,1,73,,,,,,-4.6,0,4.6,right,1,0.41592375199252274,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
57,1,73,,,,,,-4.6,0,4.6,right,1,0.35228702300810255,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
58,1,72,,,,,,-4.6,0,4.6,right,1,0.3192474539973773,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
59,1,72,,,,,,-4.6,0,4.6,right,1,0.21759752300567925,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
60,1,72,,,,,,4.6,90,-4.6,left,0,0.43562472000485286,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
61,1,73,,,,,,-4.6,90,4.6,right,1,0.2355645690113306,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
62,1,73,,,,,,-4.6,0,-4.6,left,0,0.5190966790105449,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
63,1,74,,,,,,-4.6,90,4.6,right,1,1.0970380420039874,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
64,1,74,,,,,,-4.6,0,4.6,right,1,0.48487460998876486,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
65,1,74,,,,,,-4.6,90,4.6,right,1,0.4358255710103549,right,,,,,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,0,1,81,,,,0,4.6,right,,,,180,1,0.5522894040041137,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
,,,1,1,80,,,,0,4.6,right,,,,180,1,0.30242827499751,right,003,193,2019_Apr_10_1353,Flow_exo_pre,3.0.6,59.97137338072129,
