Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,Time_pas_Ans.response,Time_pas_Ans.rt,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,Session,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,Monday,781.747,,,,,,,,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
0,1,81,,,,,,4.6,0,-4.6,left,1,0.7503839390001303,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
1,1,80,,,,,,4.6,0,4.6,right,1,0.665681258999939,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
2,1,79,,,,,,-4.6,90,4.6,right,1,4.258571057000154,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
3,1,78,,,,,,4.6,90,-4.6,left,1,2.3796130040000207,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
4,1,77,,,,,,-4.6,90,4.6,right,1,0.8000005359999705,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
5,1,76,,,,,,4.6,90,-4.6,left,1,0.9831152890001249,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
6,1,75,,,,,,4.6,0,-4.6,left,1,0.833062599999721,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
7,1,74,,,,,,4.6,0,-4.6,left,1,0.6338041989993144,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
8,1,73,,,,,,4.6,90,-4.6,left,1,1.3485915530000057,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
9,1,72,,,,,,4.6,90,-4.6,left,1,0.9660366550006074,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
10,1,71,,,,,,-4.6,0,4.6,right,0,4.9235856129998865,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
11,1,72,,,,,,-4.6,0,4.6,right,1,0.8497880329996406,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
12,1,72,,,,,,4.6,0,4.6,right,1,0.5838591520005139,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
13,1,72,,,,,,4.6,0,-4.6,left,1,0.9316477080001277,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
14,1,71,,,,,,-4.6,90,-4.6,left,1,2.346032937000018,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
15,1,71,,,,,,4.6,90,4.6,right,1,0.7168659339995429,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
16,1,71,,,,,,-4.6,0,-4.6,left,1,0.7998827580004217,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
17,1,70,,,,,,4.6,0,-4.6,left,1,3.6429229670002314,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
18,1,70,,,,,,4.6,0,4.6,right,1,0.7996525019998444,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
19,1,70,,,,,,4.6,0,4.6,right,1,0.6002370229998633,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
20,1,69,,,,,,4.6,90,4.6,right,1,0.9824788489995626,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
21,1,69,,,,,,4.6,90,-4.6,left,0,3.693186939000043,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
22,1,70,,,,,,-4.6,0,4.6,right,1,1.4471960840000975,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
23,1,70,,,,,,-4.6,0,4.6,right,1,1.3818539909998435,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
24,1,70,,,,,,4.6,0,4.6,right,1,0.8165126329995473,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
25,1,69,,,,,,4.6,0,-4.6,left,1,1.2323164930003259,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
26,1,69,,,,,,-4.6,0,4.6,right,1,0.7168597139998383,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
27,1,69,,,,,,-4.6,0,-4.6,left,1,0.6668942630003585,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
28,1,68,,,,,,-4.6,0,4.6,right,1,1.06627912499971,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
29,1,68,,,,,,-4.6,0,4.6,right,1,3.110851718000049,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
30,1,68,,,,,,-4.6,90,4.6,right,1,4.042356199999631,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
31,1,67,,,,,,4.6,0,4.6,right,1,2.529148076000638,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
32,1,67,,,,,,-4.6,90,4.6,right,0,7.016119267000249,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
33,1,68,,,,,,-4.6,0,-4.6,left,1,1.3984628520001934,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
34,1,68,,,,,,-4.6,0,-4.6,left,1,1.031502584000009,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
35,1,68,,,,,,4.6,0,4.6,right,1,0.6003287880002972,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
36,1,67,,,,,,-4.6,90,-4.6,left,1,0.7334935119997681,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
37,1,67,,,,,,-4.6,0,-4.6,left,1,0.6324311560001661,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
38,1,67,,,,,,4.6,90,-4.6,left,1,1.21565612699942,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
39,1,66,,,,,,4.6,0,-4.6,left,1,1.7311369420003757,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
40,1,66,,,,,,-4.6,90,-4.6,left,1,0.6502383080005529,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
41,1,66,,,,,,-4.6,0,-4.6,left,1,0.6666452990002654,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
42,1,65,,,,,,4.6,0,4.6,right,1,0.7654569810001703,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
43,1,65,,,,,,-4.6,0,-4.6,left,1,0.9162812470003701,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
44,1,65,,,,,,-4.6,0,-4.6,left,1,2.496000064999862,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
45,1,65,,,,,,-4.6,90,-4.6,left,1,1.4651108269999895,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
46,1,65,,,,,,-4.6,90,4.6,right,0,4.890028271000119,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
47,1,66,,,,,,-4.6,0,4.6,right,0,1.4149056880005446,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
48,1,67,,,,,,4.6,90,4.6,right,1,1.3819470759999604,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
49,1,67,,,,,,-4.6,90,-4.6,left,1,1.5148677890001636,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
50,1,67,,,,,,4.6,0,4.6,right,1,1.0494175530002394,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
51,1,66,,,,,,4.6,90,4.6,right,0,0.9659428240001944,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
52,1,67,,,,,,4.6,90,-4.6,left,1,1.3816852260006272,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
53,1,67,,,,,,-4.6,90,-4.6,left,1,0.6502382700000453,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
54,1,67,,,,,,4.6,90,4.6,right,1,1.2156725999993796,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
55,1,66,,,,,,4.6,0,4.6,right,1,0.5502327220001462,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
56,1,66,,,,,,-4.6,0,4.6,right,0,1.564851973000259,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
57,1,67,,,,,,-4.6,0,4.6,right,0,0.6666368079995664,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
58,1,68,,,,,,-4.6,0,4.6,right,1,0.7667463770003451,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
59,1,68,,,,,,4.6,90,4.6,right,0,0.6502280009999595,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
60,1,69,,,,,,-4.6,0,-4.6,left,1,0.6004753719998916,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
61,1,69,,,,,,-4.6,0,4.6,right,1,1.631370416000209,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
62,1,69,,,,,,4.6,0,-4.6,left,1,1.199048039000445,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
63,1,68,,,,,,-4.6,90,-4.6,left,1,0.9659319949996643,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
64,1,68,,,,,,-4.6,0,-4.6,left,1,0.5339707419998376,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
65,1,68,,,,,,-4.6,0,4.6,right,1,1.149185648000639,right,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
66,1,67,,,,,,4.6,0,-4.6,left,1,0.8153393949996826,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
67,1,67,,,,,,4.6,0,-4.6,left,1,1.265296360999855,left,,,,,001,27,2016_Jan_02_1718,Flow_exo_pre,3.0.5,60.14308894892099,
