Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Friday;214.366;;;;;;;;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
0;1;81;;;;;;-4.6;90;4.6;right;0;13.04193209;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
1;1;82;;;;;;-4.6;0;4.6;right;1;2.344571499;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
2;1;81;;;;;;-4.6;0;4.6;right;1;1.622641705;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
3;1;81;;;;;;-4.6;90;-4.6;left;1;1.228035496;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
4;1;81;;;;;;-4.6;0;4.6;right;1;1.109708524;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
5;1;80;;;;;;4.6;90;4.6;right;1;0.986352156;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
6;1;80;;;;;;-4.6;0;4.6;right;1;1.039975927;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
7;1;80;;;;;;-4.6;90;4.6;right;1;1.170106795;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
8;1;79;;;;;;-4.6;90;-4.6;left;1;1.087095972;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
9;1;79;;;;;;4.6;90;4.6;right;1;1.343870737;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
10;1;79;;;;;;4.6;90;-4.6;left;1;0.937534857;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
11;1;78;;;;;;4.6;90;4.6;right;1;0.922280827;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
12;1;78;;;;;;4.6;90;-4.6;left;1;0.85125282;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
13;1;78;;;;;;-4.6;90;4.6;right;1;0.923704723;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
14;1;77;;;;;;4.6;0;-4.6;left;1;0.819991213;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
15;1;77;;;;;;4.6;0;-4.6;left;1;0.956352405;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
16;1;77;;;;;;-4.6;90;-4.6;left;1;0.887645973;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
17;1;76;;;;;;4.6;90;4.6;right;1;0.837787662;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
18;1;76;;;;;;-4.6;0;-4.6;left;1;1.020917548;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
19;1;76;;;;;;4.6;90;-4.6;left;1;0.984596607;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
20;1;75;;;;;;-4.6;90;-4.6;left;1;1.071007772;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
21;1;75;;;;;;-4.6;90;4.6;right;1;0.902706406;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
22;1;75;;;;;;-4.6;90;-4.6;left;1;0.906396923;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
23;1;74;;;;;;-4.6;90;-4.6;left;1;0.791760527;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
24;1;74;;;;;;4.6;0;-4.6;left;1;0.570119191;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
25;1;74;;;;;;4.6;90;-4.6;left;1;0.807278956;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
26;1;73;;;;;;4.6;0;-4.6;left;1;0.940447252;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
27;1;73;;;;;;4.6;0;-4.6;left;1;0.909355271;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
28;1;73;;;;;;4.6;90;-4.6;left;1;0.768943963;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
29;1;72;;;;;;-4.6;0;-4.6;left;1;0.887671228;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
30;1;72;;;;;;-4.6;90;4.6;right;1;0.855642615;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
31;1;72;;;;;;-4.6;0;4.6;right;1;0.790015802;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
32;1;71;;;;;;4.6;0;-4.6;left;1;0.889881044;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
33;1;71;;;;;;4.6;90;-4.6;left;1;1.322416342;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
34;1;71;;;;;;4.6;0;4.6;right;1;0.959665803;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
35;1;70;;;;;;-4.6;0;-4.6;left;1;0.686793518;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
36;1;70;;;;;;4.6;90;4.6;right;1;0.760055904;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
37;1;70;;;;;;4.6;0;-4.6;left;1;0.804541181;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
38;1;69;;;;;;-4.6;0;4.6;right;1;1.15572658;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
39;1;69;;;;;;4.6;0;-4.6;left;1;0.919112659;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
40;1;69;;;;;;-4.6;0;4.6;right;1;0.855374218;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
41;1;68;;;;;;-4.6;0;4.6;right;1;0.74230901;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
42;1;68;;;;;;4.6;0;-4.6;left;1;1.055279318;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
43;1;68;;;;;;4.6;0;4.6;right;1;0.860106922;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
44;1;67;;;;;;4.6;90;-4.6;left;0;1.405386162;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
45;1;68;;;;;;4.6;0;4.6;right;1;0.888570568;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
46;1;68;;;;;;4.6;90;-4.6;left;1;1.389079352;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
47;1;68;;;;;;4.6;90;-4.6;left;1;1.206964727;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
48;1;67;;;;;;4.6;90;4.6;right;1;1.376777369;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
49;1;67;;;;;;4.6;0;4.6;right;1;1.772255628;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
50;1;67;;;;;;4.6;0;-4.6;left;1;1.352387716;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
51;1;66;;;;;;4.6;90;-4.6;left;0;1.085908821;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
52;1;67;;;;;;-4.6;0;-4.6;left;1;1.622952758;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
53;1;67;;;;;;-4.6;90;-4.6;left;1;1.270966477;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
54;1;67;;;;;;-4.6;0;4.6;right;1;1.025236962;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
55;1;66;;;;;;-4.6;0;4.6;right;0;1.174852938;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
